"","Approved.symbol","NCBI.Gene.ID","keggGene"
"1","A1BG",1,"hsa:1"
"2","A2M",2,"hsa:2"
"3","NAT1",9,"hsa:9"
"4","NAT2",10,"hsa:10"
"5","SERPINA3",12,"hsa:12"
"6","AADAC",13,"hsa:13"
"7","AAMP",14,"hsa:14"
"8","AANAT",15,"hsa:15"
"9","AARS",16,"hsa:16"
"10","ABAT",18,"hsa:18"
"11","ABCA1",19,"hsa:19"
"12","ABCA2",20,"hsa:20"
"13","ABCA3",21,"hsa:21"
"14","ABCB7",22,"hsa:22"
"15","ABCF1",23,"hsa:23"
"16","ABCA4",24,"hsa:24"
"17","ABL1",25,"hsa:25"
"18","AOC1",26,"hsa:26"
"19","ABL2",27,"hsa:27"
"20","ABO",28,"hsa:28"
"21","ABR",29,"hsa:29"
"22","ACAA1",30,"hsa:30"
"23","ACACA",31,"hsa:31"
"24","ACACB",32,"hsa:32"
"25","ACADL",33,"hsa:33"
"26","ACADM",34,"hsa:34"
"27","ACADS",35,"hsa:35"
"28","ACADSB",36,"hsa:36"
"29","ACADVL",37,"hsa:37"
"30","ACAT1",38,"hsa:38"
"31","ACAT2",39,"hsa:39"
"32","ASIC2",40,"hsa:40"
"33","ASIC1",41,"hsa:41"
"34","ACHE",43,"hsa:43"
"35","ACLY",47,"hsa:47"
"36","ACO1",48,"hsa:48"
"37","ACR",49,"hsa:49"
"38","ACO2",50,"hsa:50"
"39","ACOX1",51,"hsa:51"
"40","ACP1",52,"hsa:52"
"41","ACP2",53,"hsa:53"
"42","ACP5",54,"hsa:54"
"43","ACPP",55,"hsa:55"
"44","ACRV1",56,"hsa:56"
"45","ACTA1",58,"hsa:58"
"46","ACTA2",59,"hsa:59"
"47","ACTB",60,"hsa:60"
"48","ACTC1",70,"hsa:70"
"49","ACTG1",71,"hsa:71"
"50","ACTG2",72,"hsa:72"
"51","ACTN4",81,"hsa:81"
"52","ACTL6A",86,"hsa:86"
"53","ACTN1",87,"hsa:87"
"54","ACTN2",88,"hsa:88"
"55","ACTN3",89,"hsa:89"
"56","ACVR1",90,"hsa:90"
"57","ACVR1B",91,"hsa:91"
"58","ACVR2A",92,"hsa:92"
"59","ACVR2B",93,"hsa:93"
"60","ACVRL1",94,"hsa:94"
"61","ACY1",95,"hsa:95"
"62","ACYP1",97,"hsa:97"
"63","ACYP2",98,"hsa:98"
"64","ADA",100,"hsa:100"
